Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr17	ENSG00000263470	RP11-160O5.1	63096930	63107176	664	0.347	1.272	0.239091703	0.481927247
chr18	ENSG00000263424	CTD-2541J13.2	65173826	65181267	3305	-1.174	0.443	0.000179963	0.002149332
chr17	ENSG00000263388	CTC-297N7.10	10584051	10587305	171	-0.123	0.918	0.698660843	0.857964075
chr17	ENSG00000263345	RP1-59D14.5	2278355	2282600	1234	0.63	1.547	0.024579198	0.109030802
chr16	ENSG00000263335	AF001548.5	15820531	15826850	836	-0.189	0.877	0.650553108	0.829614046
chr4	ENSG00000263327	TAPT1-AS1	16228286	16321763	4192	0.061	1.044	0.845275324	0.933012569
chr17	ENSG00000263301	RP11-104H15.8	7342478	7346646	330	0.279	1.213	0.486932007	0.714241046
chr16	ENSG00000263276	RP11-96D1.10	68258616	68261637	3022	0.085	1.061	0.697114843	0.857137309
chr17	ENSG00000263272	CTC-524C5.2	5328459	5336196	1938	0.103	1.074	0.680716749	0.847399026
chr16	ENSG00000263244	RP11-473I1.10	9201098	9207038	5941	0.148	1.108	0.465716277	0.697273373
chr17	ENSG00000263218	CTD-2561B21.7	78973309	78973930	455	-0.322	0.8	0.271299148	0.516475958
chr16	ENSG00000263214	ZNF205-AS1	3160461	3165599	1426	0.448	1.364	0.123943544	0.32121265
chr16	ENSG00000263212	LA16c-306E5.3	3508071	3565564	529	-0.216	0.861	0.400129421	0.642607207
chr16	ENSG00000263203	CHTF8	69152757	69154331	1575	0.039	1.027	0.819891159	0.921310722
chr17	ENSG00000263171	RP11-542C16.1	7256006	7258263	421	0.297	1.229	0.364992559	0.610442559
chr17	ENSG00000263165	RP11-810M2.2	4067204	4068007	512	0.01	1.007	0.972464726	0.989810476
chr15	ENSG00000263155	MYZAP	57884139	57977562	2561	-0.868	0.548	0.017956029	0.087010754
chr17	ENSG00000263142	LRRC37A17P	45055847	45131935	5074	0.742	1.672	0.008694234	0.051354779
chr16	ENSG00000263136	PAGR1	29827832	29831438	1143	0.05	1.035	0.794020814	0.907885116
chr16	ENSG00000263126	CTC-479C5.10	67916364	67920270	3907	0.197	1.146	0.394068824	0.636452987
chr16	ENSG00000263072	RP11-473M20.14	3166043	3184883	3276	0.322	1.25	0.248981424	0.492346603
chr17	ENSG00000263069	CTD-2047H16.4	78325628	78388968	3983	0.126	1.091	0.654885615	0.831876728
chr6	ENSG00000263020	CSNK2B-LY6G5B-1181	31633879	31641323	2523	0.273	1.209	0.138449822	0.344773592
chr18	ENSG00000263006	ROCK1P1	109065	122219	2645	-0.083	0.944	0.781144969	0.900211525
chr19	ENSG00000263002	ZNF234	44645710	44663156	3904	0.038	1.027	0.882656636	0.949989508
chr17	ENSG00000262967	RP11-294J22.6	48770809	48772810	670	-0.145	0.904	0.559700072	0.767888571
chr16	ENSG00000262944	RP11-473I1.9	9198705	9200618	1914	0.049	1.034	0.863078359	0.941578089
chr17	ENSG00000262943	ALOX12P2	6757180	6857426	5655	0.733	1.662	0.035485375	0.140469944
chr17	ENSG00000262903	RP11-235E17.6	3558915	3561386	874	0.201	1.15	0.553982134	0.764066428
chr17	ENSG00000262902	RP11-750B16.1	51183095	51183719	625	-0.814	0.569	0.013924383	0.07297626
chr17	ENSG00000262884	CTD-3060P21.1	2865542	2869189	2546	1.505	2.837	0.000209863	0.002467883
chr17	ENSG00000262880	RP11-104H15.7	7323422	7347400	1975	0.243	1.184	0.462534492	0.694610984
chr17	ENSG00000262879	RP11-156P1.3	45061411	45177689	3348	0.129	1.094	0.649445314	0.828945806
chr17	ENSG00000262831	RP11-498C9.2	79801041	79801834	529	-0.23	0.852	0.240890083	0.483661909
chr17	ENSG00000262814	MRPL12	79670387	79674556	1028	0.176	1.13	0.299803019	0.546953551
chr17	ENSG00000262791	RP11-961A15.1	1629042	1641879	459	-0.088	0.941	0.801074173	0.912210539
chr17	ENSG00000262758	CTD-3195I5.1	3710042	3712148	2107	0.201	1.15	0.505254526	0.728291895
chr16	ENSG00000262732	CTD-2135D7.2	14024534	14029492	4959	0.015	1.011	0.960079339	0.984651854
chr17	ENSG00000262730	RP11-1099M24.7	7829249	7833940	348	0.155	1.113	0.563175895	0.770193121
chr16	ENSG00000262712	RP11-295D4.1	4385871	4387819	1949	-0.034	0.977	0.897959246	0.956328468
chr17	ENSG00000262664	OVCA2	1945327	1946724	1025	0.112	1.08	0.57957829	0.781633506
chr17	ENSG00000262660	SLC25A10	79670401	79687569	1922	0.259	1.197	0.121027799	0.315904855
chr17	ENSG00000262633	RP11-156P1.2	45000499	45124520	889	0.219	1.164	0.317236248	0.564449622
chr17	ENSG00000262624	RP11-104H15.9	7339876	7340842	327	0.325	1.252	0.297627137	0.544474575
chr16	ENSG00000262621	NAA60	3415099	3536960	3891	0.119	1.086	0.498237335	0.722460198
chr13	ENSG00000262619	LINC00621	23468795	23490508	1177	0.812	1.756	0.011401416	0.063001926
chr17	ENSG00000262580	RP11-334C17.5	78174472	78179748	5122	0.543	1.457	0.131822462	0.334378929
chr5	ENSG00000262576	PCDHGA4	140734768	140892546	4602	-0.157	0.897	0.45244873	0.686610792
chr15	ENSG00000262560	RP11-296A16.1	44064815	44091331	2326	-0.024	0.983	0.928302617	0.970088905
chr16	ENSG00000262554	LA16c-360H6.2	3358609	3358816	208	0.489	1.403	0.130433622	0.332167264
chr17	ENSG00000262533	RP11-667K14.4	1946194	1946719	422	0.128	1.093	0.580588265	0.782467721
chr16	ENSG00000262528	LA16c-349E10.1	705034	706194	994	0.808	1.75	0.0267832	0.115775297
chr17	ENSG00000262526	CTD-2545G14.7	7143746	7147954	776	-0.221	0.858	0.248760108	0.492212897
chr17	ENSG00000262481	C17orf61-PLSCR3	7293053	7307416	2557	-0.09	0.94	0.636416357	0.820030807
chr18	ENSG00000262477	AC021224.1	29992145	29993199	857	0.522	1.436	0.02123527	0.098166745
chr16	ENSG00000262468	RP11-95P2.1	4295826	4303790	2270	0.157	1.115	0.645413783	0.826347219
chr17	ENSG00000262456	RP1-59D14.1	2288141	2289958	1065	0.132	1.096	0.612196144	0.804118628
chr17	ENSG00000262429	RP5-1050D4.3	4871290	4872117	474	0.048	1.034	0.8718685	0.94559614
chr16	ENSG00000262420	RP11-490O6.2	11835766	11838362	2597	-0.101	0.932	0.739003	0.880053149
chr17	ENSG00000262413	RP11-498C9.3	79825597	79826428	762	-0.258	0.837	0.154391954	0.368824717
chr17	ENSG00000262304	SHPK	3468738	3539543	7400	0.531	1.445	0.019372744	0.091797315
chr17	ENSG00000262302	RP1-4G17.5	7150148	7165408	489	0.166	1.122	0.362079492	0.607774523
chr16	ENSG00000262246	CORO7	4404543	4475706	8793	-0.417	0.749	0.210013245	0.445535947
chr16	ENSG00000262222	RP11-876N24.4	11034576	11036878	2147	-0.036	0.975	0.879228978	0.948275348
chr5	ENSG00000262211	CTD-2031P19.5	55231971	55237555	797	-0.8	0.574	0.005060437	0.034215476
chr5	ENSG00000262209	PCDHGB3	140749831	140892546	4727	-0.178	0.884	0.39203152	0.634643793
chr16	ENSG00000262160	RP11-96D1.11	68259872	68263048	3177	0.045	1.031	0.811732182	0.918287648
chr16	ENSG00000262136	CTD-2033A16.3	69760916	69776466	592	0.056	1.04	0.817707908	0.920545101
chr17	ENSG00000262112	RP11-670E13.5	54966241	54969202	538	0.752	1.684	0.009807798	0.056215963
chr17	ENSG00000262049	RP13-1032I1.7	79668354	79670330	1977	0.073	1.052	0.727357065	0.874231333
chr16	ENSG00000262026	RP11-2C24.6	30789770	30791473	1704	0.628	1.545	0.003757233	0.027513203
chr18	ENSG00000262001	DLGAP1-AS2	3602998	3608334	3171	0.219	1.164	0.606125445	0.799572925
chr16	ENSG00000261971	RP11-473M20.7	3101992	3109371	3992	0.238	1.18	0.487111392	0.714445926
chr16	ENSG00000261962	AC009133.20	29820250	29831687	589	0.178	1.131	0.377517523	0.620860845
chr5	ENSG00000261934	PCDHGA9	140782520	140892546	4605	-0.196	0.873	0.351504106	0.598321843
chr17	ENSG00000261915	RP11-542C16.2	7215980	7222493	2571	0.305	1.236	0.113309403	0.302876658
chr17	ENSG00000261898	RP11-314A20.5	4635051	4635666	480	0.045	1.032	0.88531907	0.951082263
chr17	ENSG00000261888	AC144831.1	81061205	81063860	2656	0.819	1.764	0.024673138	0.109366617
chr16	ENSG00000261884	CTC-479C5.12	67963517	67969920	5685	-0.828	0.563	0.000431	0.00458849
chr17	ENSG00000261872	RP5-867C24.5	45247192	45248415	673	0.322	1.25	0.27129526	0.516475958
chr16	ENSG00000261864	RP11-67A1.2	68111243	68156174	549	0.139	1.101	0.660296684	0.835858576
chr17	ENSG00000261845	RP13-638C3.4	80560865	80562054	1190	0.455	1.371	0.057247646	0.194229614
chr16	ENSG00000261840	RP11-146F11.1	30709030	30710379	1146	0.851	1.803	0.010381996	0.058445831
chr16	ENSG00000261832	CLN3	28477974	28503333	1721	-0.011	0.993	0.952684624	0.980757668
chr19	ENSG00000261824	LINC00662	28175488	28284848	7958	-0.138	0.909	0.528711346	0.745733345
chr15	ENSG00000261822	RP11-265N6.2	42859229	42862192	710	-0.502	0.706	0.139389307	0.346489696
chr16	ENSG00000261819	RP11-680G24.4	15082116	15084017	1902	0.394	1.314	0.186899134	0.4147372
chr15	ENSG00000261801	LOXL1-AS1	74200424	74220589	4081	-0.265	0.832	0.303883332	0.551616684
chr12	ENSG00000261799	RP11-283I3.6	383120	386289	3170	-0.22	0.858	0.435127685	0.672266596
chr3	ENSG00000261796	ISY1-RAB43	128806418	128879879	4868	0.186	1.138	0.243355223	0.486386043
chr16	ENSG00000261790	AC005606.14	2034878	2040358	734	0.195	1.145	0.439740693	0.67633908
chr15	ENSG00000261779	RP11-69H7.3	75503642	75504508	206	0.034	1.024	0.911400209	0.962601266
chr16	ENSG00000261777	RP11-529K1.2	70349543	70380650	1508	0.118	1.085	0.671495267	0.843035577
chr15	ENSG00000261771	DYX1C1-CCPG1	55647446	55790558	4589	-0.603	0.658	0.008179803	0.048959088
chr15	ENSG00000261762	RP11-650L12.2	78881465	78883618	2154	0.815	1.759	0.042849957	0.159816838
chr16	ENSG00000261759	RP11-626G11.3	19131298	19132951	1137	-0.538	0.689	0.027640615	0.118238217
chr16	ENSG00000261740	RP11-345J4.5	29454551	29465972	3417	0.349	1.274	0.230785339	0.472334185
chr16	ENSG00000261732	LA16c-431H6.6	1682260	1736716	5326	0.434	1.351	0.01986448	0.093536173
chr16	ENSG00000261731	CTD-2358C21.4	31720434	31723305	441	0.55	1.464	0.124078919	0.32121265
chr16	ENSG00000261717	RP11-77K12.1	75446582	75498604	530	0.007	1.005	0.980148444	0.993558774
chr1	ENSG00000261716	RP11-196G18.22	149816065	149820591	4527	0.067	1.047	0.810433828	0.917468409
chr16	ENSG00000261691	LA16c-366D1.3	597185	603847	476	0.18	1.133	0.56282733	0.76990318
chr16	ENSG00000261690	AC009133.12	29829301	29832573	1125	0.009	1.006	0.973097684	0.990046004
chr15	ENSG00000261687	RP11-473C18.3	43476277	43477339	532	-0.069	0.954	0.832014946	0.926509433
chr15	ENSG00000261684	RP11-265N6.1	42824065	42825038	846	-0.804	0.573	0.002831548	0.022014614
chr16	ENSG00000261659	LA16c-313D11.12	739001	742554	3554	0.255	1.193	0.316326752	0.563655412
chr8	ENSG00000261655	CTD-3064M3.3	142363503	142365465	1963	0.258	1.195	0.487908264	0.714728552
chr16	ENSG00000261641	LA16c-390E6.5	1495344	1496520	1124	-0.06	0.959	0.811221934	0.917956292
chr16	ENSG00000261613	RP11-20I23.13	2604061	2606061	2001	0.783	1.72	0.01033181	0.058272701
chr16	ENSG00000261611	AC010547.9	71481503	71523214	3677	0.046	1.032	0.858352973	0.939047317
chr16	ENSG00000261609	GAN	81348557	81424489	15406	0.096	1.069	0.723643233	0.87159563
chr5	ENSG00000261604	CTD-2636A23.2	43287703	43290941	2497	-0.101	0.932	0.654645746	0.831689469
chr16	ENSG00000261602	CTD-2033A16.1	69743777	69744486	575	-0.592	0.663	0.040602014	0.1540291
chr12	ENSG00000261586	RP11-923I11.6	52211683	52213934	2094	0.974	1.964	0.008397441	0.049979081
chr20	ENSG00000261582	RP4-614O4.11	33855688	33867846	529	0.036	1.025	0.829561517	0.925036927
chr11	ENSG00000261578	RP11-21L23.2	76511408	76515599	4192	0.12	1.086	0.747581335	0.883949159
chr3	ENSG00000261572	RP11-384L8.1	32278180	32280070	1891	-0.282	0.822	0.376583326	0.62008161
chr13	ENSG00000261553	RP11-29G8.3	76123909	76381256	4178	-0.011	0.992	0.95571931	0.982195797
chr9	ENSG00000261534	RP11-244O19.1	124577953	124581731	3779	0.514	1.428	0.252759994	0.495711556
chr16	ENSG00000261532	RP11-304L19.8	2261998	2262864	580	0.629	1.547	0.043333427	0.161252331
chr19	ENSG00000261526	CTB-31O20.2	1874881	1876168	1288	-0.194	0.874	0.588584599	0.788167171
chr16	ENSG00000261512	RP11-46D6.1	46656773	46658363	1591	0.392	1.313	0.182719224	0.40924739
chr16	ENSG00000261505	LA16c-358B7.3	1367892	1372846	4489	0.112	1.081	0.540828022	0.755215721
chr16	ENSG00000261487	AC135048.13	30959707	30967832	1630	-0.067	0.955	0.771524078	0.895969872
chr15	ENSG00000261460	RP11-106M3.3	72571208	72644135	3148	-0.437	0.738	0.011839674	0.064708692
chr16	ENSG00000261459	ZNF747	30537244	30546173	1515	0.217	1.162	0.320765291	0.567697139
chr7	ENSG00000261455	LINC01003	152160871	152162634	1764	-0.488	0.713	0.059522028	0.199463648
chr2	ENSG00000261452	RP11-509E16.1	25380063	25382006	1944	0.642	1.561	0.141117036	0.348856514
chr8	ENSG00000261437	RP11-22C11.2	95649513	95651695	2183	0.572	1.487	0.065259777	0.211673682
chr16	ENSG00000261427	CTD-2349B8.1	19125324	19184900	908	-0.204	0.868	0.434215147	0.67137143
chr15	ENSG00000261423	RP11-1007O24.3	72700119	72767509	2713	0.073	1.052	0.801511849	0.91230475
chr16	ENSG00000261416	RP11-455F5.5	30194826	30196278	811	-1.239	0.424	0.004842422	0.033203072
chr17	ENSG00000261408	TEN1-CDK3	73975312	74002080	3898	0.237	1.179	0.309933828	0.556816645
chr16	ENSG00000261396	CTD-2012K14.2	67572460	67574009	530	-0.303	0.81	0.33657856	0.582454139
chr16	ENSG00000261385	RP11-388M20.2	31142754	31143198	357	0.257	1.195	0.265117443	0.508799258
chr15	ENSG00000261377	RP11-578F21.12	29034810	29101361	2452	0.211	1.157	0.528439222	0.745583319
chr16	ENSG00000261373	VPS9D1-AS1	89778264	89784573	1753	0.285	1.219	0.289231624	0.53548625
chr16	ENSG00000261359	C16orf98	31213206	31214773	1095	-1.273	0.414	0.00239198	0.019316207
chr15	ENSG00000261351	CTD-3185P2.1	66782086	66784447	1078	-0.059	0.96	0.80888742	0.916294306
chr1	ENSG00000261326	RP5-1057J7.6	23607802	23613245	5444	0.432	1.349	0.31191182	0.558788953
chr12	ENSG00000261324	RP11-174G6.5	14915438	14920865	5428	0.124	1.09	0.737995956	0.87947316
chr16	ENSG00000261317	RP11-566K11.5	90036199	90038952	1900	0.454	1.37	0.07496279	0.231541719
chr16	ENSG00000261312	AC002550.5	19717673	19726705	1379	0.178	1.131	0.425295201	0.663594767
chr12	ENSG00000261308	RP11-923I11.7	52214243	52216199	1957	0.758	1.691	0.034957648	0.139185031
chr11	ENSG00000261276	RP11-554A11.5	68771862	68772568	366	-1.776	0.292	0.003762663	0.027513203
chr19	ENSG00000261221	ZNF865	56116771	56128635	4005	0.148	1.108	0.595898654	0.793062252
chr9	ENSG00000261215	RP11-195F19.30	34661900	34666026	3264	-0.018	0.988	0.965695675	0.987400896
chr6	ENSG00000261211	RP1-80N2.3	6680542	6683866	3325	0.254	1.193	0.439788533	0.676354841
chr6	ENSG00000261189	RP3-512B11.3	7540684	7541571	888	0.317	1.245	0.352166072	0.598938649
chr22	ENSG00000261188	CTA-445C9.14	26908503	26910534	2032	-0.113	0.924	0.74572181	0.88322522
chr15	ENSG00000261183	RP11-532F12.5	41128006	41136585	1239	0.352	1.277	0.180667279	0.406168397
chr3	ENSG00000261167	RP11-517B11.7	131173970	131177442	3473	-0.055	0.962	0.877588473	0.947744089
chr15	ENSG00000261147	RP11-697E2.6	90792788	90815440	3838	0.115	1.083	0.495323899	0.720630391
chr8	ENSG00000261139	CTD-2517M14.5	145721763	145725663	3368	0.541	1.455	0.006451725	0.041144918
chr1	ENSG00000261135	RP4-798A10.7	16841140	16842249	1110	-0.392	0.762	0.341880505	0.58783937
chr16	ENSG00000261130	RP11-1021N1.1	15489611	15609205	1052	-0.862	0.55	0.10538419	0.288639418
chr16	ENSG00000261122	5S_rRNA	34977639	34990886	2154	-0.302	0.811	0.570209148	0.774815621
chr6	ENSG00000261116	RP3-523K23.2	54807965	54809897	1933	-2.252	0.21	0.003765014	0.027514273
chr7	ENSG00000261115	TMEM178B	140774032	141180180	10618	-0.27	0.829	0.628816853	0.815205921
chr13	ENSG00000261105	RP11-173B14.5	76178836	76210130	593	-0.154	0.899	0.635409556	0.819166576
chr2	ENSG00000261104	RP11-734K21.5	9246722	9249994	3273	1.351	2.551	0.028543124	0.120801981
chr16	ENSG00000261093	CTD-3126B10.1	2647882	2649719	1838	0.39	1.31	0.100874345	0.280770452
chr16	ENSG00000261088	RP11-61A14.3	66923072	66924996	1925	0.027	1.019	0.932377059	0.972088315
chr6	ENSG00000261071	RP1-223E5.4	13614343	13615387	1045	0.236	1.178	0.461880514	0.694074518
chr6	ENSG00000261068	RP11-7K24.3	42059976	42061997	2022	0.465	1.38	0.262435263	0.505972487
chr16	ENSG00000261067	RP11-264B17.3	28986125	29002096	5296	-0.008	0.994	0.965122059	0.987080635
chr1	ENSG00000261065	RP11-74C13.4	204100190	204101094	444	0.053	1.037	0.865452274	0.942726274
chr16	ENSG00000261063	RP11-538I12.2	77235371	77283854	566	0.035	1.024	0.912718745	0.96326746
chr16	ENSG00000261061	RP11-303E16.2	81064375	81065090	716	0.86	1.815	0.018013196	0.087215668
chr15	ENSG00000261054	RP11-6O2.4	99669037	99672011	2562	0.065	1.046	0.895685882	0.955766585
chr16	ENSG00000261052	SULT1A3	30205754	30215631	4745	1.071	2.102	0.005613364	0.037058321
chr17	ENSG00000261040	CTD-2319I12.1	58160927	58169246	1099	-1.227	0.427	0.001177176	0.010751142
chr17	ENSG00000261005	CTB-58E17.1	36858705	36861000	2296	-0.099	0.933	0.73181358	0.876558813
chr15	ENSG00000261002	RP11-546B15.1	42500611	42519188	988	-0.423	0.746	0.08943962	0.260235722
chr11	ENSG00000260966	RP11-690D19.3	102921416	102926528	5113	-0.521	0.697	0.240092183	0.482937707
chr16	ENSG00000260946	RP11-407G23.3	57282459	57286664	400	-0.278	0.825	0.212240829	0.448354701
chr2	ENSG00000260942	CAPN10-AS1	241522117	241526116	4000	0.606	1.522	0.116566363	0.308345502
chr16	ENSG00000260934	CTA-363E6.7	19513011	19513608	510	-0.046	0.968	0.853666963	0.937163707
chr1	ENSG00000260920	RP1-228H13.5	40929991	40932436	2446	-0.159	0.896	0.600537596	0.796135234
chr10	ENSG00000260917	RP11-57H14.4	114583249	114587485	4237	0.727	1.656	0.027551266	0.117996283
chr15	ENSG00000260916	CCPG1	55632230	55700708	8790	-0.691	0.62	0.003524934	0.026131279
chr16	ENSG00000260914	RP11-343C2.11	69333585	69354614	865	-0.016	0.989	0.940704594	0.975137494
chr9	ENSG00000260912	RP11-363E7.4	19453207	19455171	1965	-0.388	0.764	0.185684119	0.41300886
chr20	ENSG00000260903	XKR7	30555805	30591190	7844	1.343	2.538	0.005385515	0.035887476
chr16	ENSG00000260899	RP11-2C24.4	30751988	30762702	883	0.011	1.008	0.965723297	0.987400896
chr15	ENSG00000260898	ADPGK-AS1	73075176	73090540	3138	-0.112	0.925	0.71769419	0.868943426
chr16	ENSG00000260894	CTD-2012K14.4	67576207	67576475	207	-0.22	0.858	0.467729449	0.698515046
chr1	ENSG00000260879	RP11-483I13.5	108742548	108744113	1566	-0.299	0.813	0.276085608	0.521662962
chr16	ENSG00000260874	RP11-715J22.4	2506253	2509980	879	1.093	2.133	0.000140317	0.001730349
chr16	ENSG00000260872	RP11-680G24.5	15111963	15114345	2383	0.222	1.167	0.355009689	0.601667682
chr16	ENSG00000260869	AC002310.13	30545548	30569600	377	0.156	1.114	0.616989465	0.80706187
chr16	ENSG00000260853	RP11-264B17.2	28968008	28978204	1092	0.161	1.118	0.662335952	0.836615308
chr16	ENSG00000260852	FBXL19-AS1	30930640	30934590	3951	0.878	1.838	0.016621896	0.082311374
chr16	ENSG00000260851	RP11-403P17.5	66503715	66551215	843	-0.129	0.915	0.680726855	0.847399026
chr5	ENSG00000260841	CTC-205M6.5	180211782	180214869	3088	0.236	1.178	0.591630587	0.790557743
chr15	ENSG00000260836	RP11-152F13.10	83208783	83224682	880	0.177	1.131	0.735966748	0.878448401
chr17	ENSG00000260833	AC124789.1	36606638	36608688	1248	0.277	1.212	0.572036635	0.77589644
chr15	ENSG00000260824	CTD-2235H24.2	75192333	75193030	415	0.128	1.093	0.65835735	0.834229714
chrX	ENSG00000260822	GS1-358P8.4	24563633	24568583	4951	-0.948	0.518	0.008730469	0.051484299
chr11	ENSG00000260808	CTD-2007L18.5	68380367	68384179	1094	0.178	1.132	0.505410296	0.728422188
chr1	ENSG00000260805	RP11-61J19.4	212731175	212733073	1899	0.316	1.245	0.35171504	0.598515396
chr2	ENSG00000260804	RP11-566E18.3	217081768	217084915	3148	0.308	1.238	0.386170571	0.629020833
chr16	ENSG00000260798	RP11-354M1.2	68848233	68857429	562	0.388	1.308	0.11561291	0.306664821
chr17	ENSG00000260793	RP5-882C2.2	42298769	42301078	2012	0.349	1.274	0.402269602	0.643431847
chr5	ENSG00000260774	CTD-2083E4.4	214013	217394	2881	0.502	1.416	0.168089168	0.388889766
chr15	ENSG00000260773	RP11-352G18.2	66607252	66624041	500	0.499	1.413	0.13157641	0.33411328
chr16	ENSG00000260772	RP11-311C24.1	69736968	69738555	1588	-0.375	0.771	0.200351148	0.43310319
chr1	ENSG00000260766	RP11-226L15.5	159994743	159996584	1842	-0.237	0.848	0.571061611	0.775395358
chr16	ENSG00000260755	RP11-403P17.3	66543340	66543951	511	-0.135	0.911	0.710339298	0.864476775
chr18	ENSG00000260747	RP11-421N8.1	65945039	65945480	442	-0.064	0.957	0.822035737	0.921844298
chr16	ENSG00000260735	RP11-72I8.1	15188268	15203054	2598	0.729	1.658	0.047529492	0.171510353
chr15	ENSG00000260729	RP11-106M3.2	72577068	72668322	4374	-0.454	0.73	0.011443144	0.063193692
chr22	ENSG00000260708	CTA-29F11.1	47157791	47158460	670	-0.151	0.9	0.733776999	0.877492381
chr14	ENSG00000260669	AL136419.6	24678852	24685193	3045	0.128	1.093	0.491550959	0.717703527
chr16	ENSG00000260643	RP11-303E16.8	81087270	81121256	773	-0.014	0.99	0.958357871	0.983839713
chr16	ENSG00000260621	RP11-413H22.2	56443232	56445595	549	-0.441	0.737	0.131148271	0.333468018
chr15	ENSG00000260618	RP11-23N2.4	52870039	52890906	1211	-0.389	0.764	0.284603483	0.530575678
chr16	ENSG00000260577	RP11-615I2.2	68679283	68680071	550	0.088	1.063	0.843269791	0.932400932
chr16	ENSG00000260570	RP11-24N18.1	28841933	28848521	295	0.028	1.02	0.913331055	0.963584803
chr16	ENSG00000260566	RP11-20G6.3	23072727	23075494	2768	-0.069	0.953	0.854095194	0.937343338
chr16	ENSG00000260565	ERVK13-1	2710350	2723445	7023	0.365	1.288	0.240076512	0.482937707
chr18	ENSG00000260552	RP11-49I11.1	33759959	33767411	609	-0.411	0.752	0.260924984	0.504737374
chr16	ENSG00000260545	CTB-134F13.1	58150789	58153257	415	0.004	1.002	0.989913764	0.996627094
chr16	ENSG00000260539	RP11-252A24.7	74481325	74483790	2466	-0.145	0.904	0.549357346	0.760603107
chr16	ENSG00000260537	RP11-529K1.3	70333097	70400163	887	0.125	1.09	0.618602027	0.80850557
chr16	ENSG00000260482	CTD-2196E14.9	23681332	23684448	2463	0.175	1.129	0.582028024	0.783142975
chr16	ENSG00000260466	RP4-536B24.2	87870138	87871269	522	-0.525	0.695	0.143528344	0.352156275
chr16	ENSG00000260465	RP11-63M22.2	66754800	66765688	1790	-0.358	0.78	0.101720548	0.281996317
chr16	ENSG00000260441	RP11-96D1.7	68290065	68294346	490	-0.295	0.815	0.321728367	0.568526875
chr16	ENSG00000260432	RP11-297M9.2	9847272	9851895	4624	-1.186	0.44	0.027335638	0.117268191
chr12	ENSG00000260415	AC068987.1	52203789	52206636	2848	0.535	1.449	0.101081217	0.2811336
chr4	ENSG00000260404	RP11-384K6.6	119512928	119554884	4395	0.846	1.798	0.002118345	0.017467123
chr11	ENSG00000260401	RP11-800A3.4	72950020	72953380	3361	1.538	2.904	1.10E-06	2.15E-05
chr16	ENSG00000260371	RP11-343C2.9	69368994	69390209	564	0	1	0.99899702	0.999614332
chr16	ENSG00000260367	RP11-264B17.4	28986294	28990145	467	-0.181	0.882	0.571576027	0.77566721
chr16	ENSG00000260350	RP11-152P23.2	8941507	8942581	430	-0.057	0.961	0.828393208	0.924364338
chr16	ENSG00000260349	RP11-473I1.5	9199691	9201031	731	0.335	1.262	0.265488287	0.509130811
chr16	ENSG00000260345	AC009052.12	57494967	57496649	298	0.1	1.072	0.684119837	0.849477248
chr16	ENSG00000260342	RP11-1035H13.3	18799385	18812841	764	-0.321	0.801	0.195527884	0.426778804
chr7	ENSG00000260336	RP11-395B7.7	100737328	100741248	3921	0.069	1.049	0.767693423	0.894002594
chr8	ENSG00000260317	RP11-48B3.4	81453535	81455339	1805	-0.683	0.623	0.160659755	0.377334702
chr16	ENSG00000260304	RP11-388M20.6	31193832	31194606	463	0.361	1.284	0.037707789	0.146542027
chr16	ENSG00000260300	RP11-505K9.4	83941738	83985058	1586	0.176	1.13	0.577855963	0.78030505
chr16	ENSG00000260290	CTD-2033A16.2	69790439	69791840	1402	0.71	1.636	0.001078654	0.009964644
chr14	ENSG00000260285	RP11-600F24.7	103991347	103995409	4063	0.885	1.846	0.010790775	0.060238172
chr16	ENSG00000260281	RP11-329J18.2	47178234	47196658	626	-0.218	0.86	0.384287077	0.627137373
chr16	ENSG00000260276	RP11-77H9.2	8941962	8954274	2288	0.148	1.108	0.406324142	0.646919571
chr15	ENSG00000260274	RP11-817O13.8	75660496	75661925	1430	0.138	1.101	0.627915639	0.814902415
chr16	ENSG00000260272	RP11-20I23.1	2546033	2570219	1944	-0.153	0.9	0.428346074	0.666152773
chr15	ENSG00000260269	CTD-2323K18.1	75819491	75893546	1095	-0.098	0.934	0.68111586	0.847661101
chr16	ENSG00000260267	RP11-452L6.5	31468032	31471057	3026	0.155	1.113	0.53306579	0.749466257
chr3	ENSG00000260261	RP11-480A16.1	195676059	195679566	3508	1.119	2.172	0.006757768	0.042661673
chr16	ENSG00000260260	RP11-304L19.5	2204798	2205359	342	0.151	1.11	0.646159871	0.826446693
chr20	ENSG00000260257	RP5-1085F17.3	31444848	31446557	1710	0.082	1.058	0.852362945	0.93647497
chr1	ENSG00000260246	AC000032.2	110235739	110236364	491	0.148	1.108	0.68343982	0.849071623
chr4	ENSG00000260244	RP11-588K22.2	156655600	156658214	2615	-2.177	0.221	0.001175243	0.010738938
chr1	ENSG00000260238	PMF1-BGLAP	156182773	156213123	1007	0.332	1.259	0.103349418	0.285018812
chr7	ENSG00000260231	JHDM1D-AS1	139877061	139879440	2380	-0.182	0.882	0.54316761	0.756486091
chr9	ENSG00000260230	FRRS1L	111892573	111929571	8197	-1.525	0.347	0.020107015	0.094417533
chr16	ENSG00000260213	RP11-303E16.3	81050397	81069364	1401	0.483	1.397	0.132357848	0.335358739
